Kingdom	Phylum	Class	Order	Family	Genus	Species	nr_genomes	PhaC_gene	PhaC_status
Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	Absconditabacteriales_(SR1)	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Order of Gracilibacteria	Family of Gracilibacteria	Genus of Gracilibacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	Candidatus_Nomurabacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Parcubacteria	Order of Parcubacteria	Family of Parcubacteria	Genus of Parcubacteria	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	Gracilibacteria	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	Vampirovibrionales	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus_Obscuribacter	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Obscuribacteraceae	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA	83	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Cephaloticoccus	NA	18	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Genus of Opitutaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	IMCC26134	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA	18	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Genus of Puniceicoccaceae	NA	NA	NA	Unknown
Bacteria	Fibrobacterota	Chitinivibrionia	Order of Chitinivibrionia	Family of Chitinivibrionia	Genus of Chitinivibrionia	NA	NA	NA	Unknown
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	102	NA	NO
Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Genus of Gemmatimonadaceae	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2	NA	NA	NA	Unknown
Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Genus of Spirochaetaceae	NA	NA	NA	Unknown
Bacteria	Patescibacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	Berkelbacteria	NA	NA	NA	Unknown
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	75	NA	NO
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	KD3-10	NA	NA	NA	Unknown
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA	7	NA	NO
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	NA	NA	NA	Unknown
Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	OLB13	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Order of Acidobacteriae	Family of Acidobacteriae	Genus of Acidobacteriae	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	Elev-16S-1166	Elev-16S-1166	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	NA	13	NA	NO
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	10	NA	NO
Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	NA	NA	NA	Unknown
